mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.06407713890075684,0.0,0.0034956932067871094,0.0,0.7,0.01,6,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.7}",-1077361.7325581396,-1077361.7325581396,0.0,15
0.06907010078430176,0.0,0.003481149673461914,0.0,0.7,0.01,6,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",-1089814.6279069767,-1089814.6279069767,0.0,18
0.06256866455078125,0.0,0.003985881805419922,0.0,0.7,0.01,6,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",-1048386.726744186,-1048386.726744186,0.0,7
0.01802659034729004,0.0,0.0032024383544921875,0.0,0.7,0.05,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-1182538.3255813953,-1182538.3255813953,0.0,62
0.02083420753479004,0.0,0.0033440589904785156,0.0,0.7,0.05,3,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1198551.3372093022,-1198551.3372093022,0.0,75
0.02038097381591797,0.0,0.0032699108123779297,0.0,0.7,0.05,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-1253603.25,-1253603.25,0.0,112
0.03548908233642578,0.0,0.004987478256225586,0.0,0.7,0.05,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-1207951.8023255814,-1207951.8023255814,0.0,83
0.02768230438232422,0.0,0.0043222904205322266,0.0,0.7,0.05,3,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-1246535.7906976745,-1246535.7906976745,0.0,103
0.030837297439575195,0.0,0.005281686782836914,0.0,0.7,0.05,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-1312458.8895348837,-1312458.8895348837,0.0,158
0.042235374450683594,0.0,0.0046024322509765625,0.0,0.7,0.05,3,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}",-1241321.308139535,-1241321.308139535,0.0,101
0.042391300201416016,0.0,0.003401517868041992,0.0,0.7,0.05,3,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-1276837.5232558139,-1276837.5232558139,0.0,133
0.031220436096191406,0.0,0.0025768280029296875,0.0,0.7,0.05,3,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-1358488.9825581396,-1358488.9825581396,0.0,183
0.03252243995666504,0.0,0.004369258880615234,0.0,0.7,0.05,4,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.7}",-1147697.6569767443,-1147697.6569767443,0.0,36
0.023406267166137695,0.0,0.005037784576416016,0.0,0.7,0.05,4,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",-1185610.511627907,-1185610.511627907,0.0,63
0.03288888931274414,0.0,0.003515005111694336,0.0,0.7,0.05,4,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",-1193800.4127906978,-1193800.4127906978,0.0,72
0.03970623016357422,0.0,0.005273342132568359,0.0,0.7,0.05,4,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.7}",-1209556.4476744186,-1209556.4476744186,0.0,85
0.05458831787109375,0.0,0.0033185482025146484,0.0,0.7,0.05,4,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",-1245433.3372093022,-1245433.3372093022,0.0,102
0.0521695613861084,0.0,0.0040700435638427734,0.0,0.7,0.05,4,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",-1255192.3662790698,-1255192.3662790698,0.0,115
0.08757948875427246,0.0,0.005335330963134766,0.0,0.7,0.05,4,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.7}",-1250396.5872093022,-1250396.5872093022,0.0,109
0.08069634437561035,0.0,0.005305051803588867,0.0,0.7,0.05,4,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",-1295298.4825581396,-1295298.4825581396,0.0,139
0.07239007949829102,0.0,0.012543439865112305,0.0,0.7,0.05,4,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}",-1307800.5,-1307800.5,0.0,149
0.03191018104553223,0.0,0.004980325698852539,0.0,0.7,0.05,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-1132459.1511627906,-1132459.1511627906,0.0,33
0.043978214263916016,0.0,0.0044405460357666016,0.0,0.7,0.05,6,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-1190300.25,-1190300.25,0.0,69
0.030851364135742188,0.0,0.005877494812011719,0.0,0.7,0.05,6,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-1115166.7093023255,-1115166.7093023255,0.0,24
0.11356735229492188,0.0,0.009691953659057617,0.0,0.7,0.05,6,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-1199915.4767441861,-1199915.4767441861,0.0,78
0.10654616355895996,0.0,0.008861064910888672,0.0,0.7,0.05,6,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",-1273099.4069767443,-1273099.4069767443,0.0,132
